Algorithm,HARD0.BPP.txt,HARD1.BPP.txt,HARD2.BPP.txt,HARD3.BPP.txt,HARD4.BPP.txt,HARD5.BPP.txt,HARD6.BPP.txt,HARD7.BPP.txt,HARD8.BPP.txt,HARD9.BPP.txt
Optimal,NextFit,FirstFit,BestFit,WorstFit,OneFit,NextFitOffline,FirstFitDecreasing,BestFitDecreasing,WorstFitDecreasing,Benchmark
56,64,1,1,1,200,65,60,60,60,59
57,65,1,1,1,200,66,61,61,61,60
56,66,1,1,1,200,66,61,61,61,60
55,65,1,1,1,200,64,60,60,60,59
57,66,1,1,1,200,65,61,61,61,60
56,65,1,1,1,200,65,60,60,60,59
57,65,1,1,1,200,65,61,61,61,60
55,63,1,1,1,200,63,60,60,60,59
57,65,1,1,1,200,66,61,61,61,60
56,65,1,1,1,200,65,61,61,61,60
